,seq_num,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
8,23,4,0,0,1,0,0,1,0,0,0,0,0,0,0
9,23,0,2,0,2,0,1,0,0,0,0,0,0,0,0
10,23,0,3,4,1,1,0,0,0,0,0,1,0,0,0
11,23,2,2,3,1,1,0,1,1,0,0,0,0,0,0
12,23,1,1,2,0,1,0,0,0,1,0,0,1,0,0
13,23,2,0,1,0,0,0,1,0,0,0,0,0,0,0
14,23,1,0,5,2,0,0,1,0,0,0,0,1,0,0
15,23,1,2,0,1,0,0,0,0,0,0,0,0,0,0
16,23,0,1,2,1,1,0,0,0,0,0,0,0,0,0
1,24,2,2,0,1,1,0,0,0,0,0,0,0,0,0
2,24,0,4,1,1,0,2,0,0,0,0,0,0,0,0
3,24,1,2,1,0,0,0,1,0,0,0,0,0,0,0
4,24,0,1,1,1,0,0,0,0,0,1,0,0,0,0
5,24,1,2,1,0,1,1,0,0,0,0,0,0,0,0
6,24,1,2,3,1,0,1,1,0,0,0,0,0,0,0
7,24,1,5,1,1,1,1,0,1,0,0,0,0,0,0
8,24,1,2,2,0,0,0,0,1,0,0,0,0,0,0
9,24,3,4,1,0,0,1,0,0,0,0,0,0,0,0
10,24,4,0,1,2,0,0,0,0,0,0,0,0,0,0
11,24,1,2,0,0,1,3,0,0,1,0,0,0,0,0
12,24,3,2,2,2,2,1,1,0,0,0,1,0,0,0
13,24,0,3,3,2,2,0,0,0,0,0,0,0,0,0
14,24,2,3,7,1,1,0,0,0,0,0,0,0,0,0
15,24,1,2,0,2,0,0,0,0,0,0,0,0,0,0
16,24,2,1,2,1,1,0,0,0,0,0,0,0,0,0
1,25,1,3,2,1,0,1,0,0,1,0,0,0,0,0
2,25,3,3,2,0,2,0,1,0,0,0,0,0,0,0
3,25,1,1,1,0,0,1,0,0,0,0,0,0,0,0
4,25,1,2,1,1,0,0,1,0,0,0,0,0,0,0
5,25,3,1,0,2,1,0,0,0,0,0,0,0,0,0
6,25,3,2,1,3,0,2,2,0,0,0,0,0,0,0
7,25,3,3,0,1,0,0,0,0,0,0,0,0,0,0
8,25,2,1,0,2,1,2,0,0,0,0,0,0,0,0
9,25,1,3,0,0,1,1,0,0,0,0,0,0,0,0
10,25,2,1,1,2,2,1,0,0,0,0,0,0,0,0
11,25,2,0,2,2,2,0,0,1,0,0,0,0,0,0
12,25,3,1,0,2,1,0,1,0,0,0,0,0,0,0
13,25,1,2,1,0,0,0,1,0,1,0,0,0,0,0
14,25,0,1,4,2,0,0,1,0,0,0,0,0,1,0
15,25,0,1,1,1,0,1,0,0,0,0,0,0,0,0
